#Target HV settings for run 371 from hcal_gain_match.C on Fri Sep 24 11:15:16 2021
#
#Row Col targetHVUnlimited targetHV setHV Error
13 8 -1408.31 -1408.31 -1413.11 Good
13 9 -1411.61 -1411.61 -1413.05 Good
13 10 -1431.71 -1431.71 -1428.75 Good
13 11 -1461.51 -1461.51 -1460.03 Good
14 0 -1481.2 -1481.2 -1494.69 Good
14 1 -1409.39 -1409.39 -1409.53 Good
14 2 -1414.67 -1414.67 -1412.57 Good
14 3 -1448.87 -1448.87 -1449.9 Good
14 4 -1648.82 -1648.82 -1643.06 Good
14 5 -1466.51 -1466.51 -1442.56 Good
14 6 -1679.64 -1679.64 -1677.43 Good
14 7 -1663.6 -1663.6 -1666.85 Good
14 8 -1415.91 -1415.91 -1414.12 Good
14 9 -1503.62 -1503.62 -1508.91 Good
14 10 -1395.39 -1395.39 -1389.6 Good
14 11 -1403.08 -1403.08 -1395.62 Good
15 0 -1404.38 -1404.38 -1403.91 Good
15 1 -1452.82 -1452.82 -1453.27 Good
15 2 -1387.02 -1387.02 -1384.38 Good
15 3 -1425.6 -1425.6 -1423.81 Good
15 4 -1582.87 -1582.87 -1594.26 Good
15 5 -1645.17 -1645.17 -1642.55 Good
15 6 -1492.52 -1492.52 -1487.08 Good
15 7 -1581.24 -1581.24 -1577.43 Good
15 8 -1464.25 -1464.25 -1463.56 Good
15 9 -1447.16 -1447.16 -1447.72 Good
15 10 -1434.15 -1434.15 -1431.78 Good
15 11 -1401.71 -1401.71 -1397.33 Good
16 0 -1451.42 -1451.42 -1450.51 Good
16 1 -1419.57 -1419.57 -1419.19 Good
16 2 -1438.06 -1438.06 -1438.74 Good
16 3 -1430.84 -1430.84 -1431.5 Good
16 4 -1823.88 -1823.88 -1849.54 Good
16 5 -574.134 -574.134 -2075.56 Good
16 6 -1767.44 -1767.44 -1780.56 Good
16 7 -1892.88 -1892.88 -1912.06 Good
16 8 -1386.63 -1386.63 -1387.09 Good
16 9 -1449.15 -1449.15 -1448.54 Good
16 10 -1395.7 -1395.7 -1396.37 Good
16 11 -1538.77 -1538.77 -1537.95 Good
17 0 -1450.76 -1450.76 -1451.53 Good
17 1 -1493.51 -1493.51 -1466.22 Good
17 2 -1393.58 -1393.58 -1395.41 Good
17 3 -1473.27 -1473.27 -1471.38 Good
17 4 -1582.06 -1582.06 -1579.15 Good
17 5 -1425.41 -1425.41 -1430 Good
17 6 -1429.26 -1429.26 -1420.4 Good
17 7 -1773.07 -1773.07 -1761.82 Good
17 8 -1375.62 -1375.62 -1372.92 Good
17 9 -1418.62 -1418.62 -1414.96 Good
17 10 -1383.87 -1383.87 -1384.73 Good
17 11 -1461.15 -1461.15 -1459.45 Good
18 0 -1407.75 -1407.75 -1409.48 Good
18 1 -1538.93 -1538.93 -1524.91 Good
18 2 -1378.82 -1378.82 -1381.03 Good
18 3 -1429.28 -1429.28 -1432.87 Good
18 4 -1452.59 -1452.59 -1462.48 Good
18 5 -1688.29 -1688.29 -1666.84 Good
18 6 -1528.5 -1528.5 -1525.78 Good
18 7 -1497.39 -1497.39 -1496.98 Good
18 8 -1348.14 -1348.14 -1347.89 Good
18 9 -1414.13 -1414.13 -1416.83 Good
18 10 -1396.83 -1396.83 -1400.15 Good
18 11 -1431.85 -1431.85 -1434.56 Good
19 0 -1421.58 -1421.58 -1424.73 Good
19 1 -1362.33 -1362.33 -1365.25 Good
19 2 -1425.4 -1425.4 -1427.93 Good
19 3 -1435.61 -1435.61 -1440.65 Good
19 4 -1760.22 -1760.22 -1775.61 Good
19 5 -1589.87 -1589.87 -1595.54 Good
19 6 -1620.33 -1620.33 -1612.81 Good
19 7 -1963.14 -1963.14 -1973.59 Good
19 8 -1415.47 -1415.47 -1418.44 Good
19 9 -1395.19 -1395.19 -1398.9 Good
19 10 -1417.33 -1417.33 -1426.13 Good
19 11 -1426.73 -1426.73 -1434.39 Good
20 0 -1505.31 -1505.31 -1516.35 Good
20 1 -1427.95 -1427.95 -1439.45 Good
20 2 -1825.04 -1825.04 -1750.62 Good
20 3 -1460.88 -1460.88 -1469.94 Good
20 4 -1829.26 -1829.26 -1842.7 Good
20 5 -1421.35 -1421.35 -1426.34 Good
20 6 -1770.85 -1770.85 -1783.27 Good
20 7 -1808.09 -1808.09 -1826.51 Good
20 8 -1395.67 -1395.67 -1394.71 Good
20 9 -1459.79 -1459.79 -1459.47 Good
20 10 -1422.59 -1422.59 -1424.66 Good
20 11 -1435.62 -1435.62 -1440.76 Good
21 0 -1493.21 -1493.21 -1516.51 Good
21 1 -1418.56 -1418.56 -1423.52 Good
21 2 -1360.61 -1360.61 -1361.57 Good
21 3 -1369.91 -1369.91 -1378.11 Good
21 4 -1609.71 -1609.71 -1616.71 Good
21 5 -1335.55 -1335.55 -1341.91 Good
21 6 -1421.06 -1421.06 -1420.69 Good
21 7 -1571.66 -1571.66 -1581.19 Good
21 8 -1401.12 -1401.12 -1403.14 Good
21 9 -1384.48 -1384.48 -1385.1 Good
21 10 -1392.47 -1392.47 -1397.46 Good
21 11 -1363.66 -1363.66 -1368.65 Good
22 0 -1535.72 -1535.72 -1548.67 Good
22 1 -1385.58 -1385.58 -1389.62 Good
22 2 -1380.16 -1380.16 -1377.88 Good
22 3 -1383.72 -1383.72 -1387.78 Good
22 4 -1590.31 -1590.31 -1614.13 Good
22 5 -1332.22 -1332.22 -1338.89 Good
22 6 -1724.81 -1724.81 -1748.72 Good
22 7 -1746.61 -1746.61 -1769.73 Good
22 8 -1368.68 -1368.68 -1369.75 Good
22 9 -1376.71 -1376.71 -1380.5 Good
22 10 -1416.95 -1416.95 -1417.89 Good
22 11 -1375.16 -1375.16 -1380.72 Good
23 0 -1437.92 -1437.92 -1445.04 Good
23 1 -1497.31 -1497.31 -1500.44 Good
23 2 -1442.08 -1442.08 -1443.23 Good
23 3 -1442.07 -1442.07 -1447.24 Good
23 4 -1592.39 -1592.39 -1609.27 Good
23 5 -1456.96 -1456.96 -1470.87 Good
23 6 -1726.38 -1726.38 -1748.62 Good
23 7 -1957.41 -1957.41 -2016.64 Good
23 8 -1422.16 -1422.16 -1421.89 Good
23 9 -1411.05 -1411.05 -1412.27 Good
23 10 -1414.8 -1414.8 -1418.78 Good
23 11 -1454.01 -1454.01 -1456.13 Good
