Run Number: 528 Desired Peak Position: 78.355
Module   Target HV   Stat   ErrStat   Peak Pos   ErrPPos   Peak Width   ErrPWid   NGoodEvents    Flag 
  104    10831.61      128.94       16.47        0.12        5.44        0.08    13291.00   1485.2625        Good
  105    11870.33      137.03       16.21        0.11        5.25        0.07    14320.00   1491.4227        Good
  106    13899.23      157.51       16.43        0.10        4.74        0.07    15668.00   1535.1370        Good
  107     9573.56      114.01       16.98        0.14        6.80        0.11    14593.00   1520.6845        Good
  108     5840.31       90.65       14.79        0.26        8.69        0.27    10774.00   1622.1552        Good
  109    11720.42      128.02       16.78        0.14        6.18        0.10    16036.00   1549.9168        Good
  110    12130.64      133.06       17.46        0.14        5.81        0.09    14905.00   1501.1640        Good
  111    16102.60      179.26       15.60        0.09        4.45        0.07    17726.00   1505.3651        Good
  112    10838.96      123.54       17.50        0.14        6.18        0.10    14722.00   1912.1586        Good
  113     8823.53      139.07       12.09        0.14        4.03        0.10     7739.00   1985.0442        Good
  114    10174.61      125.02       16.04        0.12        5.44        0.08    13035.00   2128.7424        Good
  115    10075.11      123.46       16.07        0.13        5.76        0.09    13376.00   2172.3698        Good
  116    10408.19      124.14       16.44        0.13        5.63        0.09    13511.00   1454.9118        Good
  117    10336.36      120.65       17.69        0.14        5.97        0.10    13745.00   1569.3703        Good
  118    13047.10      145.46       16.28        0.12        5.48        0.09    15944.00   1504.0120        Good
  119    14114.71      144.71       16.54        0.13        6.23        0.10    18466.00   1538.0886        Good
  120     8819.99      127.84       16.32        0.12        4.57        0.09     9805.00   1515.5314        Good
  121    14665.30      148.85       16.78        0.12        5.67        0.08    18024.00   1531.7118        Good
  122    10782.11      118.16       17.54        0.13        6.43        0.09    16397.00   1528.3252        Good
  123    13818.98      141.29       17.30        0.12        5.95        0.08    18426.00   1539.0136        Good
  124    11898.62      132.35       16.90        0.14        5.77        0.09    14724.00   1798.2354        Good
  125     8537.34      116.35       15.74        0.12        5.16        0.08    10591.00   2021.5397        Good
  126     9765.47      119.86       16.26        0.13        5.68        0.09    12779.00   2122.0928        Good
  127    10843.37      130.42       15.83        0.11        5.27        0.08    13090.00   2126.0097        Good
  128    10513.66      124.15       16.63        0.13        5.69        0.09    13723.00   1473.2801        Good
  129    10636.42      126.59       16.78        0.12        5.51        0.08    13074.00   1449.5863        Good
  130     6223.84       88.52       17.06        0.24        9.57        0.25    12556.00   1569.8903        Good
  131    10369.74      148.87       14.38        0.89        9.91        0.43    16601.00   1598.7717        Good
  132        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000        Wide
  133    15647.75      150.96       16.07        0.12        6.55        0.10    22152.00   1481.6897        Good
  134    10698.92      120.80       17.04        0.13        6.03        0.09    14563.00   1533.4976        Good
  135    13617.58      132.13       17.74        0.13        6.54        0.09    20060.00   1580.2302        Good
  136    10198.17      118.55       16.89        0.15        6.37        0.10    14251.00   2064.5419        Good
  137     6760.95       93.75       18.05        0.18        6.38        0.12     9755.00   2082.2169        Good
  138     8786.66      111.75       16.46        0.14        5.97        0.10    12390.00   2208.3265        Good
  139     9897.00      120.66       16.26        0.13        5.79        0.09    13207.00   2490.8925        Good
  140     9019.89      112.31       16.45        0.14        6.12        0.10    12954.00   1514.8414        Good
  141     9561.61      114.76       17.24        0.13        5.95        0.09    13395.00   1515.4729        Good
  142    10658.52      128.31       18.01        0.12        5.77        0.10    14763.00   1511.3164        Good
  143     4638.34       40.97       70.35        0.62       27.71        0.47    23159.00   1507.6919        Good
  144     1221.67       18.81       51.17        1.70       43.72        1.68     9978.00   1578.9506        Good
  145     3077.31       36.22       28.39        2.06       35.15        1.70    15870.00   1589.3586        Good
  146     8424.67      138.22       12.00        0.15        5.54        0.16    10849.00   1579.7117        Good
  147   204101.53    56592.69     -144.01        5.37        8.26        1.13    15645.00        -nan        Good
  148     5476.58       89.46       14.76        0.24        8.46        0.22    11489.00   2877.1766        Good
  149     3053.35       68.87       15.17        0.30        7.80        0.30     5453.00   2334.0270        Good
  150     9323.60      112.34       16.67        0.13        5.93        0.09    13102.00   2380.3996        Good
  151     9414.46      114.38       16.87        0.15        6.33        0.11    13717.00   2209.5884        Good
  152     9513.24      116.29       16.75        0.14        6.06        0.09    13473.00   1490.6793        Good
  153     6071.03       80.25       20.62        0.27        9.61        0.22    12309.00   1503.2355        Good
  154     8303.80      105.43       17.50        0.16        6.83        0.12    13683.00   1545.3874        Good
  155    12867.44      123.35       18.28        0.14        7.61        0.10    22349.00   1527.2074        Good
  156    13203.30      135.65       16.36        0.11        5.36        0.07    15928.00   1527.3209        Good
  157    11191.67      111.92       19.65        0.18        8.73        0.14    20700.00   1480.2647        Good
  158     8529.47      103.79       18.35        0.19        7.49        0.14    14156.00   1550.2308        Good
  159    11738.83      113.59       20.22        0.24        7.84        0.15    17626.00   1485.5570        Good
  160     6225.49       86.51       21.06        0.41       12.24        0.55    12389.00   1800.8562        Good
  161        0.00        0.00        0.00        0.00        0.00        0.00        0.00      1.0000      Narrow
  162     8642.11      113.72       16.04        0.17        6.98        0.15    13427.00   1877.8745        Good
  163     9267.18      109.83       17.55        0.15        6.44        0.10    13558.00   2160.8106        Good
  164     6990.53       95.35       18.14        0.21        8.11        0.18    12645.00   1498.1809        Good
  165     7312.76       94.26       18.09        0.17        6.99        0.12    11737.00   1504.3538        Good
  166     9148.52      103.76       19.35        0.19        7.68        0.13    15202.00   1519.2828        Good
  167    11225.81      127.18       16.38        0.16        7.16        0.14    17697.00   1557.9850        Good
  168     9479.43      122.64       15.23        0.17        7.31        0.16    15079.00   1583.5327        Good
  169    13652.34      135.36       17.45        0.13        6.29        0.09    18659.00   1503.7204        Good
  170     8973.36      102.64       18.96        0.18        7.52        0.13    14881.00   1502.1914        Good
  171    10969.83      115.81       18.67        0.16        6.98        0.11    16605.00   1544.4064        Good
  172     6164.24       87.34       18.02        0.17        6.23        0.11     9136.00   2098.4790        Good
  173     3964.00       69.54       18.79        0.23        6.61        0.15     6009.00   1839.7090        Good
  174     8806.57      106.81       17.92        0.17        6.76        0.12    13184.00   2286.2097        Good
  175     9216.65      114.37       17.09        0.15        6.30        0.11    13408.00   2171.2458        Good
  176     8671.43      109.21       16.81        0.16        6.55        0.11    13452.00   1512.6175        Good
  177   293932.23   221132.27      -63.62        3.37        3.70        1.39     8518.00        -nan        Good
  178     8379.32      102.47       18.44        0.20        7.70        0.15    14188.00   1485.6258        Good
  179     7003.15       76.15       25.52        0.22       10.79        0.17    16445.00   1493.8313        Good
  180     9651.34      114.60       16.84        0.14        6.80        0.11    14722.00   1500.1378        Good
  181    10579.12      115.48       18.39        0.17        7.21        0.12    17141.00   1549.8623        Good
  182    12011.74      130.94       17.52        0.13        6.13        0.09    15519.00   1481.0431        Good
  183    10917.66      136.11       16.89        0.14        6.16        0.12    15172.00   1522.0390        Good
